sample_id,qc_type,TG 52:2 [-16:0],TG 52:3 [-16:1],TG 52:3 [-18:2],TG 52:4 [-16:0],TG 52:4 [-18:1],TG 53:2 [-17:0],TG 54:2 [-18:0],TG 54:3 [-18:1],TG 54:4 [-18:0],TG 54:4 [-18:2],TG 54:5 [-18:1],TG 54:6 [-18:2],TG 56:6 [-20:4],TG 56:8 [-20:4],TG 58:8 [-22:6]
LT_batch2_43,SAMPLE,358.19159332079334,21.21183588819271,221.8436031697756,85.43704795864335,34.12482570284369,3.063742848220086,34.95269844362146,155.30951489450604,6.242578577479529,14.876389298244298,35.451113680634904,18.477249855390006,10.70447268361741,3.2110316708761526,2.235243373171038
LT_batch2_44,SAMPLE,718.494788981258,45.22895578938701,405.8467222967408,144.94708671145514,65.33187911916504,9.434929253100393,86.02845910091776,351.77614816972675,11.297200210473543,25.787853729616273,60.95198515121523,25.952417699505233,14.67681940377712,3.8581389076235637,6.56902746441154
LT_batch2_45,SAMPLE,543.4908149624964,30.96364831288737,302.8028961412453,124.08561915682094,56.84309707070526,5.126531122002637,55.7382727391382,220.96857994289098,9.761671306356252,16.75236170190083,37.42874912660357,15.05153428048972,5.679885698488024,1.5328416613898685,6.869698035256618
LT_batch2_46,SAMPLE,1361.3062676286327,75.96416661961733,742.9732650445364,272.32287223721937,143.26975205212392,16.14037548924087,195.14420087615858,491.3894134819554,22.619905529966484,35.42176406014185,77.80547680124732,38.054714654866984,13.15148960900441,3.7768784090899485,23.77255075453659
LT_batch2_47,SAMPLE,526.2920389119013,25.4968233333588,354.55085648053114,116.32878733034465,46.14105781425743,8.482224743886652,41.387320793630245,147.80025184080534,5.541404461989433,14.116906537612973,33.06055741004309,11.73973280560699,7.767112448896506,2.0781147336803767,4.845891203681794
LT_batch2_48,SAMPLE,774.6103159294096,36.61264864358184,490.8069020205881,216.09654906295623,77.05534793627633,11.4924545732505,65.86147328030025,202.4503403223395,14.014412714284582,17.87844121203791,51.03598199455086,32.681920102505224,13.947106898408759,5.932263473028185,6.579584689146315
LT_batch2_49,SAMPLE,1027.385007009637,49.1173212828297,621.586189649686,270.6726872707626,102.95472058943352,15.146014349018285,111.87582912605217,245.778904264486,16.0155859738863,20.349312351795003,54.30910157711583,31.150431990287935,14.56184196860369,5.990137734293808,7.343391044799837
LT_batch2_50,SAMPLE,1099.6707418511385,53.777990071876204,682.564382478363,272.4342872652794,110.59771405300013,17.943043785024553,111.13957777995165,271.14052564051366,15.370992025482035,21.20863084489063,63.15961840691904,33.342713391415266,14.746231549334416,5.9534084522691595,9.962452608416651
LT_batch2_51,SAMPLE,1445.4157697343626,63.69695166024454,907.285343636591,427.7955891381826,155.000177837892,13.957837401798932,225.76716880447128,556.3083429056587,29.894794829464335,47.78449795612768,117.23452162089961,85.23107259323311,18.23654054249331,9.298241255751945,23.681137326814373
LT_batch2_52,SAMPLE,312.86919669368064,23.886235500464128,236.3950269270223,92.4938681468635,48.78070134528275,4.66205870346842,30.531229755317582,141.62546299512601,8.44439473115727,14.468773207780407,34.647583346056685,17.340777113048585,5.504517543872877,1.2794667947836669,5.645304918009382
LT_batch2_53,SAMPLE,421.12792751919466,25.298250582511475,280.03370527003517,108.12391789155036,51.729897570349664,7.167324531802694,45.94459798447621,173.1206419874169,8.123860310354159,16.74250130169524,41.27417127322936,16.915295072608878,9.947490133685946,2.7990123039262667,6.604487143148435
LT_batch2_54,SAMPLE,345.5780204365998,21.24942227951402,183.55707434781246,49.63578838593725,24.797135545134424,7.197544243813396,38.30785781266844,109.74067140441466,3.766280958596655,6.9413394272887325,15.97463717637645,4.967854801843096,7.258923879194384,1.437211647124379,3.204114334413757
LT_batch2_55,SAMPLE,461.1515121342213,46.27984791669982,245.9762884875634,95.08751384453862,76.18706019243838,7.910185556904932,49.92008099409817,196.12096790079332,8.053197442621231,16.982438397212672,41.308493756257,19.084038832762673,9.80584690592763,3.5811637770765534,23.045017394865795
LT_batch2_56,SAMPLE,749.7633539042962,41.58461129215044,413.4377393199966,195.1232286432997,88.54973236276707,11.368798979886911,106.99706750985874,294.9240644670475,11.706013220683602,21.63457968530257,62.989578261839135,24.23215344024121,16.6941288696361,6.607504605390937,5.689923259859527
LT_batch2_57,SAMPLE,964.6874419344249,41.76051111325034,617.062078330189,279.03424225371816,98.02994474280766,11.732943921011438,82.63702021580634,242.79893624409294,14.639100972419655,21.607587416958584,51.35433269226307,34.26036073656974,14.126195263534507,5.315614440809708,8.07094402354282
LT_batch2_58,SAMPLE,617.8650415212087,28.735655858264384,416.44198156128226,155.43106853236304,68.61326799429634,7.322710029416448,50.77165537628963,162.41073453590886,9.370432564853909,16.813370872145388,39.867104948826196,21.097164917622028,11.880908947591779,3.4510291310415555,8.389629048930523
LT_batch2_59,SAMPLE,1081.8005425659578,70.6567520127749,670.3274728537816,242.9164576234863,135.1419902977025,15.872435787776054,167.91338378958181,529.5602828358716,20.54879305779141,41.670301500395325,104.77187183302058,57.94947026841263,19.151935130689377,7.3452341303231625,6.985158412874119
LT_batch2_60,SAMPLE,713.47844844568306,49.67380073792705,393.55794860256185,144.3067258342556,90.42433955160891,10.684311351057334,102.24468371379152,352.7595147881712,10.415527925411114,21.81758739563152,52.506116789503444,21.03002106444491,18.512145218495043,5.910457564348031,4.675260807815442
LT_batch2_61,SAMPLE,658.8039455483115,46.82590269158467,403.5489377453838,157.09664019056382,94.91463719716803,8.519281625411601,66.8480642096917,288.22119015993934,11.419873335710465,24.11649285260698,63.627377395085595,27.027196724491212,10.94678596876599,3.7896524397233797,8.478985172933287
LT_batch2_62,SAMPLE,227.75955647303707,14.331941904307284,200.4001029617548,70.9446840259364,29.684933784349838,2.9368452325638974,24.559930483993465,82.89677954362584,5.629244207456112,10.488083975389964,25.458979420639558,11.61474549996082,6.043505446254775,1.700239814283045,8.362613707554734
LT_batch2_63,SAMPLE,814.2638863991931,42.41260901723992,394.3886002808347,137.97539624724092,80.1160466193001,9.98840264228386,109.36652243772856,274.391505473792,9.120410715408031,17.80426324692845,43.20815459657399,16.647119682633203,16.931110162445567,4.939260443807095,5.105637702045308
